Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Zone Air Temperature [C](Hourly),Zone Air Relative Humidity [%](Hourly),Zone Thermal Comfort Fanger Model PMV [](Hourly),Facility Total Electricity Demand Rate [W](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Zone Air System Sensible Cooling Rate [W](Hourly),Zone Air System Sensible Heating Rate [W](Hourly)
07/25 00:00:00,12.928932188134524,21.764297739604483,52.35355339059328,-0.0824957911384308,1300.0,0.0,0.0,0.0,0.0
07/25 01:00:00,11.339745962155613,21.483479347022854,54.068876204978324,-0.1807822285420011,1300.0,0.0,0.0,0.0,0.0
07/25 02:00:00,10.340741737109317,21.1787214266924,55.7319178599614,-0.28744750065765934,1300.0,0.0,0.0,0.0,0.0
07/25 03:00:00,10.0,20.872764045802654,57.226387837228756,-0.394532583969071,1300.0,0.0,0.0,0.0,0.0
07/25 04:00:00,10.340741737109317,20.588363302179545,58.447582065652874,-0.4940728442371593,1300.0,0.0,0.0,0.0,0.0
07/25 05:00:00,11.339745962155614,20.346742724178746,59.30951504517722,-0.5786400465374388,1300.0,0.0,0.0,0.0,0.0
07/25 06:00:00,12.928932188134524,20.16614903964394,59.75077644053409,-0.6418478361246208,1300.0,0.0,0.0,0.0,0.0
07/25 07:00:00,15.0,20.14688375335665,59.609303501410366,-0.6485906863251722,1300.0,0.0,0.0,0.0,0.0
07/25 08:00:00,17.411809548974794,20.442381279877257,58.666555099106304,-0.5451665520429602,1300.0,0.0,0.0,0.0,0.0
07/25 09:00:00,20.0,20.883337497610196,57.210527659517446,-0.3908318758364315,1300.0,0.0,0.0,0.0,0.0
07/25 10:00:00,22.588190451025206,21.44884106398551,55.32673840402174,-0.1929056276050721,1300.0,0.0,0.0,0.0,0.0
07/25 11:00:00,25.0,22.109188303949015,53.13031276958908,0.03821590638215522,1300.0,0.0,0.0,0.0,0.0
07/25 12:00:00,27.071067811865476,22.827917620879564,50.75812356868065,0.28977116730784735,1300.0,0.0,0.0,0.0,0.0
07/25 13:00:00,28.660254037844386,23.56430411020808,48.359448609175274,0.5475064385728282,1300.0,0.0,0.0,0.0,0.0
07/25 14:00:00,29.65925826289068,24.0,46.5,0.7,2594.4267963702127,4659936.466932766,0.0,14911796.69418485,0.0
07/25 15:00:00,30.0,24.0,45.46446609406726,0.7,4373.604345603975,11064975.644174311,0.0,35407922.061357796,0.0
07/25 16:00:00,29.65925826289068,24.0,44.66987298107781,0.7,3996.7591035766736,9708332.772876024,0.0,31066664.87320328,0.0
07/25 17:00:00,28.66025403784439,24.0,44.170370868554656,0.7,3463.8194513858784,7789750.024989163,0.0,24927200.079965323,0.0
07/25 18:00:00,27.071067811865476,24.0,44.0,0.7,2811.1043456039806,5439975.644174331,0.0,17407922.06135786,0.0
07/25 19:00:00,25.0,24.0,44.170370868554656,0.7,1768.7500000000066,1687500.000000024,0.0,5400000.000000076,0.0
07/25 20:00:00,22.58819045102521,24.0,44.66987298107781,0.7,1391.9047579726885,330857.1287016782,0.0,1058742.81184537,0.0
07/25 21:00:00,20.0,23.933333333333334,45.564466094067264,0.6766666666666667,1300.0,0.0,0.0,0.0,0.0
07/25 22:00:00,17.41180954897479,23.782615873854716,46.82607618921793,0.6239155558491507,1300.0,0.0,0.0,0.0,0.0
07/25 23:00:00,15.000000000000004,23.55652867805956,48.371111757398054,0.5447850373208462,1300.0,0.0,0.0,0.0,0.0
