Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Zone Air Temperature [C](Hourly),Zone Air Relative Humidity [%](Hourly),Zone Thermal Comfort Fanger Model PMV [](Hourly),Facility Total Electricity Demand Rate [W](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Zone Air System Sensible Cooling Rate [W](Hourly),Zone Air System Sensible Heating Rate [W](Hourly)
07/25 00:00:00,12.928932188134524,21.714297739604483,52.42855339059328,-0.09999579113843104,550.0,0.0,0.0,0.0,0.0
07/25 01:00:00,11.339745962155613,21.38514601368952,54.216376204978324,-0.21519889520866753,550.0,0.0,0.0,0.0,0.0
07/25 02:00:00,10.340741737109317,21.033665871136847,55.94950119329473,-0.3382169451021035,550.0,0.0,0.0,0.0,0.0
07/25 03:00:00,10.0,20.682543675432285,57.51171839278431,-0.4611097135987002,550.0,0.0,0.0,0.0,0.0
07/25 04:00:00,10.340741737109317,20.354483610821518,58.798401602689914,-0.5759307362124687,550.0,0.0,0.0,0.0,0.0
07/25 05:00:00,11.339745962155614,20.070659022532656,59.72364059764636,-0.6752693421135705,550.0,0.0,0.0,0.0,0.0
07/25 06:00:00,12.928932188134524,19.849268128052717,60.22609780792092,-0.7527561551815489,550.0,0.0,0.0,0.0,0.0
07/25 07:00:00,15.0,19.790565538818466,60.14378082321765,-0.7733020614135367,550.0,0.0,0.0,0.0,0.0
07/25 08:00:00,17.411809548974794,20.04794033915701,59.25821651018668,-0.6832208812950469,550.0,0.0,0.0,0.0,0.0
07/25 09:00:00,20.0,20.45204458824729,57.8574670235618,-0.5417843941134485,550.0,0.0,0.0,0.0,0.0
07/25 10:00:00,22.588190451025206,20.9819245849347,56.02711312259795,-0.35632639527285526,550.0,0.0,0.0,0.0,0.0
07/25 11:00:00,25.0,21.607835707533233,53.88234166421276,-0.13725750236336828,550.0,0.0,0.0,0.0,0.0
07/25 12:00:00,27.071067811865476,22.29327677767764,51.56008483348354,0.10264687218717405,550.0,0.0,0.0,0.0,0.0
07/25 13:00:00,28.660254037844386,22.99748462844622,49.20967783181806,0.3491196199561768,550.0,0.0,0.0,0.0,0.0
07/25 14:00:00,29.65925826289068,23.67821888418918,46.982671673716226,0.5873766094662135,550.0,0.0,0.0,0.0,0.0
07/25 15:00:00,30.0,24.29464718177839,45.022495321399674,0.8031265136224368,550.0,0.0,0.0,0.0,0.0
07/25 16:00:00,29.65925826289068,24.810134217815467,43.454671654354605,0.9835469762354133,550.0,0.0,0.0,0.0,0.0
07/25 17:00:00,28.66025403784439,25.19474456018394,42.37825402827875,1.1181605960643783,550.0,0.0,0.0,0.0,0.0
07/25 18:00:00,27.071067811865476,25.427288668573322,41.85906699714002,1.1995510340006625,550.0,0.0,0.0,0.0,0.0
07/25 19:00:00,25.0,25.429712379620877,42.02580229912334,1.200399332867307,550.0,0.0,0.0,0.0,0.0
07/25 20:00:00,22.58819045102521,25.351661648667687,42.64238050807628,1.1730815770336902,550.0,0.0,0.0,0.0,0.0
07/25 21:00:00,20.0,25.189939593712097,43.67955670349912,1.116478857799234,550.0,0.0,0.0,0.0,0.0
07/25 22:00:00,17.41180954897479,24.94733525888752,45.07899711166872,1.031567340610632,550.0,0.0,0.0,0.0,0.0
07/25 23:00:00,15.000000000000004,24.63242408359127,46.75726864910049,0.9213484292569448,550.0,0.0,0.0,0.0,0.0
